train_loss,train_acc,val_acc,val_f1,test_acc,test_f1
0.7816779017448425,0.11131059245960502,0.11428571428571428,0.18421052631578946,0.1,0.18181818181818182
0.6649619340896606,0.35727109515260325,0.39285714285714285,0.24778761061946902,0.37333333333333335,0.24193548387096775
0.49902206659317017,0.7845601436265709,0.7785714285714286,0.4745762711864407,0.79,0.4878048780487805
0.46484002470970154,0.7953321364452424,0.7928571428571428,0.49122807017543857,0.8033333333333333,0.5042016806722689
0.3200371563434601,0.7863554757630161,0.7857142857142857,0.4827586206896552,0.79,0.4878048780487805
0.2066875547170639,0.9587073608617595,0.9642857142857143,0.8484848484848485,0.9733333333333334,0.8823529411764706
0.15020222961902618,0.9964093357271095,0.9928571428571429,0.9655172413793104,1.0,1.0
0.06801062077283859,1.0,1.0,1.0,1.0,1.0
0.029808636754751205,1.0,1.0,1.0,1.0,1.0
0.026392046362161636,1.0,1.0,1.0,1.0,1.0
0.013696237467229366,1.0,1.0,1.0,1.0,1.0
0.008114438503980637,1.0,1.0,1.0,1.0,1.0
0.0028678379021584988,1.0,1.0,1.0,1.0,1.0
0.0012847104808315635,1.0,1.0,1.0,1.0,1.0
0.001960290130227804,1.0,1.0,1.0,1.0,1.0
0.00019317434635013342,1.0,1.0,1.0,1.0,1.0
0.00012602527567651123,1.0,1.0,1.0,1.0,1.0
0.00023558219254482538,1.0,1.0,1.0,1.0,1.0
5.351828076527454e-05,1.0,1.0,1.0,1.0,1.0
7.413803359668236e-06,1.0,1.0,1.0,1.0,1.0
3.830694913631305e-05,1.0,1.0,1.0,1.0,1.0
0.00015865157183725387,1.0,1.0,1.0,1.0,1.0
1.1547683243406937e-05,1.0,1.0,1.0,1.0,1.0
7.117298537195893e-06,1.0,1.0,1.0,1.0,1.0
4.8809793042892125e-06,1.0,1.0,1.0,1.0,1.0
4.7887165237625595e-06,1.0,1.0,1.0,1.0,1.0
8.624781912658364e-05,1.0,1.0,1.0,1.0,1.0
3.2096759241539985e-05,1.0,1.0,1.0,1.0,1.0
7.483808985853102e-06,1.0,1.0,1.0,1.0,1.0
1.897809283946117e-06,1.0,1.0,1.0,1.0,1.0
1.1680947409331566e-06,1.0,1.0,1.0,1.0,1.0
4.72148940389161e-06,1.0,1.0,1.0,1.0,1.0
3.333461791044101e-06,1.0,1.0,1.0,1.0,1.0
1.5092097100932733e-06,1.0,1.0,1.0,1.0,1.0
6.54061636851111e-07,1.0,1.0,1.0,1.0,1.0
2.2864098809805e-06,1.0,1.0,1.0,1.0,1.0
2.1054947865195572e-06,1.0,1.0,1.0,1.0,1.0
5.565849505728693e-07,1.0,1.0,1.0,1.0,1.0
1.217193812408368e-06,1.0,1.0,1.0,1.0,1.0
3.0820970664535707e-07,1.0,1.0,1.0,1.0,1.0
4.20090691477526e-06,1.0,1.0,1.0,1.0,1.0
4.554049723992648e-07,1.0,1.0,1.0,1.0,1.0
7.525188152612827e-07,1.0,1.0,1.0,1.0,1.0
2.507177612187661e-07,1.0,1.0,1.0,1.0,1.0
5.041941676608985e-06,1.0,1.0,1.0,1.0,1.0
1.0874266536120558e-06,1.0,1.0,1.0,1.0,1.0
1.8949262084788643e-05,1.0,1.0,1.0,1.0,1.0
1.7239852923012222e-06,1.0,1.0,1.0,1.0,1.0
9.430538625565532e-07,1.0,1.0,1.0,1.0,1.0
1.5014046539363335e-07,1.0,1.0,1.0,1.0,1.0
3.4975749940713285e-07,1.0,1.0,1.0,1.0,1.0
1.6099717186079943e-06,1.0,1.0,1.0,1.0,1.0
2.595737100818951e-07,1.0,1.0,1.0,1.0,1.0
4.0940457779470307e-07,1.0,1.0,1.0,1.0,1.0
2.1863699828372773e-07,1.0,1.0,1.0,1.0,1.0
3.7857077472835954e-07,1.0,1.0,1.0,1.0,1.0
1.3764032757990208e-07,1.0,1.0,1.0,1.0,1.0
2.4012404082895955e-06,1.0,1.0,1.0,1.0,1.0
1.576231341005041e-07,1.0,1.0,1.0,1.0,1.0
9.06001503153675e-07,1.0,1.0,1.0,1.0,1.0
1.9007133289505873e-07,1.0,1.0,1.0,1.0,1.0
2.0496011643444945e-07,1.0,1.0,1.0,1.0,1.0
1.689383424263724e-07,1.0,1.0,1.0,1.0,1.0
5.476254045788664e-06,1.0,1.0,1.0,1.0,1.0
8.940272664403892e-07,1.0,1.0,1.0,1.0,1.0
1.8139511439585476e-06,1.0,1.0,1.0,1.0,1.0
7.54761515509017e-07,1.0,1.0,1.0,1.0,1.0
1.7477703977419878e-06,1.0,1.0,1.0,1.0,1.0
8.61365833770833e-07,1.0,1.0,1.0,1.0,1.0
6.339535616461944e-07,1.0,1.0,1.0,1.0,1.0
1.9189567979083222e-07,1.0,1.0,1.0,1.0,1.0
2.2183562577993143e-06,1.0,1.0,1.0,1.0,1.0
7.187282449194754e-07,1.0,1.0,1.0,1.0,1.0
1.3205738014221424e-07,1.0,1.0,1.0,1.0,1.0
4.46450712843216e-07,1.0,1.0,1.0,1.0,1.0
1.2132477422710508e-06,1.0,1.0,1.0,1.0,1.0
8.556885404686909e-07,1.0,1.0,1.0,1.0,1.0
3.5214522995374864e-06,1.0,1.0,1.0,1.0,1.0
6.533824148391432e-07,1.0,1.0,1.0,1.0,1.0
6.451306489907438e-06,1.0,1.0,1.0,1.0,1.0
4.250470055922051e-07,1.0,1.0,1.0,1.0,1.0
3.425564045755891e-06,1.0,1.0,1.0,1.0,1.0
5.307148853717081e-07,1.0,1.0,1.0,1.0,1.0
4.953968527843244e-06,1.0,1.0,1.0,1.0,1.0
2.512450976155378e-07,1.0,1.0,1.0,1.0,1.0
3.277461360084999e-07,1.0,1.0,1.0,1.0,1.0
4.738292318506865e-07,1.0,1.0,1.0,1.0,1.0
3.7378103456831013e-07,1.0,1.0,1.0,1.0,1.0
7.77650484451442e-07,1.0,1.0,1.0,1.0,1.0
4.4553698899107985e-06,1.0,1.0,1.0,1.0,1.0
1.0766501645775861e-06,1.0,1.0,1.0,1.0,1.0
3.6797355278395116e-05,1.0,1.0,1.0,1.0,1.0
3.04342174786143e-05,1.0,1.0,1.0,1.0,1.0
1.2764705388690345e-05,1.0,1.0,1.0,1.0,1.0
2.3139618861023337e-06,1.0,1.0,1.0,1.0,1.0
1.0911894605669659e-05,1.0,1.0,1.0,1.0,1.0
1.832109717270214e-07,1.0,1.0,1.0,1.0,1.0
1.1755686273318133e-06,1.0,1.0,1.0,1.0,1.0
5.91748744227516e-07,1.0,1.0,1.0,1.0,1.0
2.1187986476434162e-07,1.0,1.0,1.0,1.0,1.0
2.23587016989768e-06,1.0,1.0,1.0,1.0,1.0
2.905508836192894e-06,1.0,1.0,1.0,1.0,1.0
3.5178638313482224e-07,1.0,1.0,1.0,1.0,1.0
2.944053392184287e-07,1.0,1.0,1.0,1.0,1.0
9.3440320370064e-07,1.0,1.0,1.0,1.0,1.0
9.820372724789195e-06,1.0,1.0,1.0,1.0,1.0
1.1297731816739542e-06,1.0,1.0,1.0,1.0,1.0
2.9265413559187436e-07,1.0,1.0,1.0,1.0,1.0
2.938500642812869e-07,1.0,1.0,1.0,1.0,1.0
3.219694917788729e-06,1.0,1.0,1.0,1.0,1.0
5.616682301479159e-06,1.0,1.0,1.0,1.0,1.0
3.0718007337782183e-07,1.0,1.0,1.0,1.0,1.0
9.282365454055252e-07,1.0,1.0,1.0,1.0,1.0
1.3781570942228427e-06,1.0,1.0,1.0,1.0,1.0
5.334405841495027e-07,1.0,1.0,1.0,1.0,1.0
6.712074309689342e-07,1.0,1.0,1.0,1.0,1.0
1.7625890222916496e-06,1.0,1.0,1.0,1.0,1.0
2.704995495150797e-06,1.0,1.0,1.0,1.0,1.0
4.021011932309193e-07,1.0,1.0,1.0,1.0,1.0
0.00027253598091192544,1.0,1.0,1.0,1.0,1.0
5.931615305598825e-06,1.0,1.0,1.0,1.0,1.0
1.6560714755087247e-07,1.0,1.0,1.0,1.0,1.0
6.383363029272004e-07,1.0,1.0,1.0,1.0,1.0
4.4421395273275266e-07,1.0,1.0,1.0,1.0,1.0
1.171222629636759e-05,1.0,1.0,1.0,1.0,1.0
2.008878709602868e-06,1.0,1.0,1.0,1.0,1.0
4.222793563712912e-07,1.0,1.0,1.0,1.0,1.0
2.023732804445899e-06,1.0,1.0,1.0,1.0,1.0
6.684649065391568e-07,1.0,1.0,1.0,1.0,1.0
5.569000336436147e-07,1.0,1.0,1.0,1.0,1.0
6.976117106205493e-07,1.0,1.0,1.0,1.0,1.0
2.0901518382743234e-06,1.0,1.0,1.0,1.0,1.0
3.207710506103467e-07,1.0,1.0,1.0,1.0,1.0
6.5995168370136525e-06,1.0,1.0,1.0,1.0,1.0
